取り皿,アプチョプシ,앞접시
塩ください,ソグム ジュセヨ,소금 주세요
辛さ控えめにしてください,トル メッケ ヘ ジュセヨ,덜 맵게 해 주세요
これ辛いですか？,イゴ メウォヨ？,이거 매워요?
もっとください,ト ジュセヨ,더 주세요
トイレはどこですか？,ファジャンシリ オディエヨ？,화장실이 어디예요?
これ買いたいです,イゴ サゴ シッポヨ,이거 사고 싶어요
いくら？,オルマエヨ？,얼마예요?
わかりません,モルゲッソヨ,모르겠어요
なんですか？,モエヨ？,뭐예요?
ちょっと待って,チャッカンマニョ,잠깐만요
おすすめは？,チュチョヌン ムォエヨ？,추천은 뭐예요?
おしぼりください,ムルティシュ ジュセヨ,물티슈 주세요
ライス,コンギッパプ,공깃밥
大盛り,コッペギ,곱빼기
普通,ボトン,보통
少なめ,チョッケ,적게
キムチちょっとください,キムチ チョム ジュセヨ,김치 좀 주세요
とてもおいしいです,チョンマル マシッソヨ,정말 맛있어요
こしょう,フチュ,후추
醤油,カンジャン,간장
持ち帰りにしてください,ポジャンヘ ジュセヨ,포장해 주세요
結構です,ケンチャナヨ,괜찮아요
ごめんなさい,チェソンハムニダ,죄송합니다
一つ,ハンゲ,한 개
二つ,トゥゲ,두 개
三つ,セゲ,세 개
一人,ハン ミョン,한 명
二人,トゥ ミョン,두 명
水ください,ムル ジュセヨ,물 주세요
試着していいですか？,イボ バド テヨ？,입어 봐도 돼요?
おかず,パンチャン,반찬
私は日本人です,チョヌン イルボン サラミエヨ,저는 일본 사람이에요
大（サイズ）,クン,큰
中（サイズ）,ボトン,보통
小（サイズ）,チャグン,작은
注文お願いします,チュムンハルケヨ,주문할게요
かわいい,クィヨウォヨ,귀여워요
いただきます,チャル モッケッスムニダ,잘 먹겠습니다
ごちそうさまでした,チャル モゴッスムニダ,잘 먹었습니다
さようなら（自分が先に帰るとき）,アンニョンヒ ケセヨ,안녕히 계세요
じゃあね,アンニョン,안녕
おはし,チョッカラク,젓가락
スプーン,スッカラク,숟가락
温かいのでお願いします,タットゥッタン ゴルロ ジュセヨ,따뜻한 걸로 주세요
冷たいのでお願いします,チャガウン ゴルロ ジュセヨ,차가운 걸로 주세요
見せてください,ポヨ ジュセヨ,보여 주세요
